,id,model,pam,price,retail_price,year,box,papers,gender,movement,case_size,case_material,bracelet_material,dial_type,w_resistance,date,link,img_path
111,165997,Luminor Chrono,PAM00250,5290,,2009,Yes,Yes,Mens,Automatic,44 MM,Steel,Rubber - Black,Black Baton,100 metres,25/10/2020 11:32:13,https://www.watchfinder.es/Panerai/LuminorChrono/PAM00250/36539/item/165997,../data/imgs/WF_panerai/165997_PAM00250_Luminor Chrono.jpeg
112,166186,Royal Navy Clearance Diver,PAM00664,14505,,2016,Yes,Yes,Mens,Automatic,45 MM,Steel,Rubber - Black,Black Baton,300 metres,25/10/2020 11:32:16,https://www.watchfinder.es/Panerai/RoyalNavyClearanceDiver/PAM00664/32130/item/166186,../data/imgs/WF_panerai/166186_PAM00664_Royal Navy Clearance Diver.jpeg
113,168106,Manifattura Luminor,PAM00289,17640,23745,2013,Yes,Yes,Mens,Manual,44 MM,Pink Gold,Leather - Brown,Brown Baton,100 metres,25/10/2020 11:32:19,https://www.watchfinder.es/Panerai/ManifatturaLuminor/PAM00289/48033/item/168106,../data/imgs/WF_panerai/168106_PAM00289_Manifattura Luminor.jpeg
114,142877,Radiomir 1938,PAM00232,6610,,2006,Yes,Yes,Mens,Manual,47 MM,Steel,Leather - Brown,Brown Quarter Arabic,100 metres,25/10/2020 11:32:23,https://www.watchfinder.es/Panerai/Radiomir1938/PAM00232/27975/item/142877,../data/imgs/WF_panerai/142877_PAM00232_Radiomir 1938.jpeg
115,163941,Luminor Marina,PAM00359,5545,,2015,Yes,Yes,Mens,Automatic,44 MM,Steel,Rubber - Black,Black Arabic,300 metres,25/10/2020 11:32:27,https://www.watchfinder.es/Panerai/LuminorMarina/PAM00359/46937/item/163941,../data/imgs/WF_panerai/163941_PAM00359_Luminor Marina.jpeg
116,165099,Radiomir Manual,PAM00575,12180,17135,2016,Yes,Yes,Mens,Automatic,42 MM,Rose Gold,Alligator - Black,Black Quarter Arabic,50 metres,25/10/2020 11:32:30,https://www.watchfinder.es/Panerai/RadiomirManual/PAM00575/35610/item/165099,../data/imgs/WF_panerai/165099_PAM00575_Radiomir Manual.jpeg
117,143998,Manifattura Luminor,PAM00329,6300,8850,2012,Yes,Yes,Mens,Automatic,44 MM,Steel,Steel,Black Quarter Arabic,300 metres,25/10/2020 11:32:33,https://www.watchfinder.es/Panerai/ManifatturaLuminor/PAM00329/15187/item/143998,../data/imgs/WF_panerai/143998_PAM00329_Manifattura Luminor.jpeg
118,160301,Luminor 1950,PAM00441,9995,10750,2018,Yes,Yes,Mens,Automatic,44 MM,Ceramic - Black,Leather - Brown,Black Arabic,100 metres,25/10/2020 11:32:37,https://www.watchfinder.es/Panerai/Luminor1950/PAM00441/23842/item/160301,../data/imgs/WF_panerai/160301_PAM00441_Luminor 1950.jpeg
119,155184,Luminor Marina,PAM00661,7785,11535,2016,Yes,Yes,Mens,Automatic,44 MM,Carbon Fiber,Leather - Brown,Black Quarter Arabic,300 metres,25/10/2020 11:32:40,https://www.watchfinder.es/Panerai/LuminorMarina/PAM00661/34541/item/155184,../data/imgs/WF_panerai/155184_PAM00661_Luminor Marina.jpeg
120,115320,Luminor Marina,PAM00332,10920,11200,2010,Yes,Yes,Mens,Automatic,44 MM,Steel with PVD Coating,Leather - Black,Black Arabic,0,25/10/2020 11:32:43,https://www.watchfinder.es/Panerai/LuminorMarina/PAM00332/14333/item/115320,../data/imgs/WF_panerai/115320_PAM00332_Luminor Marina.jpeg
121,166727,Radiomir 3 Days Acciaio,PAM00721,9465,8625,2018,Yes,Yes,Mens,Manual,47 MM,Steel,Leather - Brown,Black Quarter Arabic,100 metres,25/10/2020 11:32:47,https://www.watchfinder.es/Panerai/Radiomir3DaysAcciaio/PAM00721/36291/item/166727,../data/imgs/WF_panerai/166727_PAM00721_Radiomir 3 Days Acciaio.jpeg
122,167534,Radiomir Automatic,PAM00388,5235,7055,2017,Yes,Yes,Mens,Automatic,45 MM,Steel,Alligator - Black,Black Quarter Arabic,100 metres,25/10/2020 11:32:50,https://www.watchfinder.es/Panerai/RadiomirAutomatic/PAM00388/23830/item/167534,../data/imgs/WF_panerai/167534_PAM00388_Radiomir Automatic.jpeg
123,167780,Luminor Submersible,PAM00615,12125,,2016,Yes,Yes,Mens,Automatic,47 MM,Titanium,Rubber - Black,Black,300 metres,25/10/2020 11:32:53,https://www.watchfinder.es/Panerai/LuminorSubmersible/PAM00615/27693/item/167780,../data/imgs/WF_panerai/167780_PAM00615_Luminor Submersible.jpeg
124,159864,Luminor 1950,PAM00127,14505,,2004,Yes,Yes,Mens,Automatic,39 MM,Steel,Rubber - Black,Black Quarter Arabic,100 metres,25/10/2020 11:32:56,https://www.watchfinder.es/Panerai/Luminor1950/PAM00127/47601/item/159864,../data/imgs/WF_panerai/159864_PAM00127_Luminor 1950.jpeg
125,155523,Luminor Base,PAM00002,4310,,2004,No,No,Mens,Manual,44 MM,Steel,Alligator - Black,Black Quarter Arabic,300 metres,25/10/2020 11:33:00,https://www.watchfinder.es/Panerai/LuminorBase/PAM00002/43293/item/155523,../data/imgs/WF_panerai/155523_PAM00002_Luminor Base.jpeg
126,159267,Luminor 1950,PAM00441,8400,10750,2013,Yes,Yes,Mens,Automatic,44 MM,Ceramic - Black,Leather - Brown,Black Arabic,100 metres,25/10/2020 11:33:03,https://www.watchfinder.es/Panerai/Luminor1950/PAM00441/23842/item/159267,../data/imgs/WF_panerai/159267_PAM00441_Luminor 1950.jpeg
127,159577,Luminor Marina,PAM00359,5545,,2015,Yes,Yes,Mens,Automatic,44 MM,Steel,Leather - Black,Black Arabic,300 metres,25/10/2020 11:33:06,https://www.watchfinder.es/Panerai/LuminorMarina/PAM00359/36399/item/159577,../data/imgs/WF_panerai/159577_PAM00359_Luminor Marina.jpeg
